#,Date of incident,Area,Department,Equipment,Description of Breakdown/Case,Effected time (Minute),Impact on production,Action taken, RCA Status,Date of RCA,Link,Root Cause,CAPA,Responsible,Due date,Status of CAPA,Actual date,Remark,Remark of RCA team,RCA team required,Date of intimation
240,10-Jan-26,Pellet-1,Mechanical,WIDE BELT,WIDE BELT DISCHARGE PULLEY SHAFT BROKEN,707,Stop,DISCHARGE PULLEY REPLACEMENT DONE.,Done,12-Jan-26,RCA- Wide Belt discharge pulley shaft beaking,heavy additional load act on pulley,ca- pulley replaced with new one.,"SK MUDULI
RAGHU",10-Jan-26,Done,10-Jan-26,,"Remark-1: RCA team would like to inspect the damaged pulley to establish the cause of failure.
Remark-2: Inspected damaged pulley. Shaft has sheared from the pulley hub end. This kind of failure is possible if the pulley is subjected to high bending load due to excessive belt tension.  There is no means of measuring belt tension.  However, the belt tension to be kept minimum just to avoid belt slippage. Further, healthy rubber lining on the driving drum is a must. please revise the RCA.
Remark-3: OK NOW",,
,,,,,,,,,,,,,pa-observation frequency to be rised to avoid additional heavy load act on pulley.,,,,,,,,
241,10-Jan-26,Pellet-1,Mechanical,PC-1,PC-1 BELT CONVEYOR TORNED OUT,74,Stop,BELT TORN OUT PORTION PATCHING AND FASTNING DONE.,Done,12-Jan-26,RCA PC-1 CONV BELT TORN OUT,tail pulley area was jamed and belt rubbed with material and torned out.,ca-belt torn out portion patching and fastning done.,"SK MUDULI
RAGHU",10-Jan-26,Done,10-Jan-26,,"Remark-1: Healthiness of installed belt scrapper to be checked.
Remark-2: Root cause of belt failure is accumulation of material at the tail end side. Ideally the belt scrapper should be functional to avoid accumulation of material at the tail end side. As discussed the scraper is deliberately kept out of service  due to blisters on the belt. Presently, in this situation the site is to be managed by proper housekeeping deploying additional manpower but after this belt is replaced, the scrapper should be made functional.
Remark-3: OK NOW",,
,,,,,,,,,,,,,pa-always to keep clean and clear the tail pulley area.,,,Done,,,,,
242,14-Jan-26,BNFC,Mechanical,IOC-5,IOC 5 BELT  DAMAGE,330,No,IOC 5 BELT REPLACED,Done,16-Jan-26,22.pdf,DAMAGED GRIZZLY,INSPECTION OF GRIZZLY TO BE STRENGHTHENED,"Debasish jena
Kausal singh",20-Jan-26,Done,16-Jan-25,,"1.  Cause of  belt failure is not clear.
2. Belt last replaced on 7/10/2026 but rubber thickness reported to be reduced from 12 to 6mm within 3 months. Belt life is too less.
3.  Please discuss with the past history of belt replacement.
4.  CAPA completion date is missing in the report.
RCA report (CAPA)  revised.
ok now",,
243,20-Jan-26,BNFC,Mechanical,WEIGH FEEDER 2,WEIGH FEEDER 2 BEARING (HEAD PULLEY DRIVE SIDE),135,No,Z SEAL BEARING REPLACED,Done,22-Jan-26,33.pdf,LAPSE  IN TIMELY EQUIPMENT INSPECTION,INSPECTION OF EQUIPMENTS TO BE STRENGHTHENED,"Debasish jena
Kausal singh",Continuous basis,Done,,,"1.   This is a normal  maintenance activity.  
2.   This defect should have been identified by your inspection team  and  the job could have been taken up  as a  
       planned maintenace activity.
3.   Inspection team  requires  to be more accountable with job clarity. System  for equipment inspection  to be 
       improved.
4.   Job completion date  to be indicated  against  CAPA . 
RCA report (CAPA)  revised.
ok now",,
244,20-Jan-26,PGP,Mechanical,Gas Booster-2, Gas booster rotary assembly got decoupled and got axially shifted away from the drive.,270,Stop,Adapter sleeve lock nut tightened properly and alignment done.,Done,21-Jan-26,RCA PGP GB-2 FAILURE 20-01-26.pdf, Adapter sleeve was not correctly positioned and lock nut not fully tightened.,1.Training to be given for proper fitting of adapter sleeve.,Anurag Ray,21-Jan-26,Done,21-Jan-26,,okay,,
,,,,,,,,,,,,,2. Preventive maintenance schedule to be strictly followed.,,21-Jan-26,Done,21-Jan-26,,,,
245,8-Jan-26,BNFC,Mechanical,IOC 3,IOC 3 COUPLING FUSIBLE PLUG DAMAGED,95,Speed loss,FUSIBLE PLUG REPLACED WITH NEW ONE,Done,23-Jan-26,IOC 3 FLUID COUPLING.pdf,Feeder output was not effectively controlled or monitored so that the belt conveyed an overload to the coupling which could damage the fusible plug and hydraulic oil drain.,"Replace damaged fusible plug, Refill hydraulic oil and check temperature and any abnormal sounds.",,,Done,,,"1.  Completion  date missing in  CAPA. 
2.   After the installation of belt weigher,  an interlock to be put in place to trip the conveyor beyond a predecided load.",,
,,,,,,,,,,,,,Installation of belt weigher to monitor the belt load,,,Done,,,,,
,,,,,,,,,,,,,Make continue inspection checklist for Vibro feeder discharge rate.,,,Done,,,,,
246,8-Jan-26,BNFC,Mechanical,COMPRESSOR,DRY AIR VALVE LINE GASKET DAMAGE,100,Stop,GASKET ADJUSTMENT DONE,Done,24-Jan-26,DRY AIR LINE VALVE GASKET DAMAGE.pdf,Gasket was not replacd from the installation period,By pass line should be give for empty the tank in a minimum time.,,,Done,,,"1. This is a normal maintenance job and should have been done  as a planned maintenance activity but it appears  as a breakdown job. 
2.  Root cause here is  poor  equipment inspection and preventive job planning.
3.  CAPA to include  development of systematic equipment inspection  and  job planning to avoid  breakdoown.
Comment:-  RCA report revised, CAPA added as suggested. 
 RCA Link
Okay",,
,,,,,,,,,,,,,Spare valve should be ready always,,,Done,,,,,
,,,,,,,,,,,,,"Recommended valve manufacture for air line to be like L&T, KSB standard",,,Done,,,,,
,,,,,,,,,,,,,Flow chart of compressor pipe tine should be displayed.,,,Done,,,,,
,,,,,,,,,,,,,Installed valve should be operate in regular interval.,,,Done,,,,,
247,11-Jan-26,Pellet-2,Process,bucket elevator,bucket elevator tripped.,70,Stop,material cleared and plant was made operational.,Done,6-Feb-26,Bucket Elevator Trip (11-1-2026).jpeg,Poor life of stripper plate.,Damage stripper plates to be replaced with OEM stripper plates.,Mr. Nitish Kumar,Next S/D,,,,"Discussed, signed copy of RCA report to be attached.

RCA Revised as suggested.
ok now.",Yes,14-Feb-26
248,21-Jan-26,Pellet-2,Mechanical,bucket elevator,bucket elevator tripped due to excess material came in tail pulley,10,Stop,the side plate of bucket elevator re - fitted,Done,21-Jan-26,RCA OF BUCKET ELEVATOR 2.pdf,due to excess hot material came at tail pulley,the side plate of bucket elevator re - fitted,Mr. Jiten Patra,,Done,,,CAPA to be revised as suggested. okay,Yes,14-Feb-26
249,26-Jan-26,BNFC,Mechanical,hgms cooling pump,hgms cooling pump coupling tyre damage,225,No,replaced with a standard f 60 coupling,Done,28-Jan-26,HGMS COOLING PUMP.pdf,unavailability of non standard tyre,ca- replaced with a new standard f 60 type coupling.,,,Done,,,ok but SMP to be revised so that the next tyre replacement  does not get missed out on its due date. ,,
,,,,,,,,,,,,,pa-replacement of tyre in a schedule of 6 months,,,Done,,,,,
250,28-Jan-26,Pellet-2,Process,C-9,Over load tripped,1,Stop,Materials cleaning,Done,6-Feb-26,C9 Conveyor tripped (28-1-26).jpeg,Delay in diverting the material to other bins.,Instructing operators to ensure regular and continuous monitoring of bin levels during operation.,Mr. Raghu,10-Feb-26,Done,,,"1. RCA to be made in standard format.
2. CAPA should indicate responsibility with timeline compmitment.
3. RCA to be signed by all members.

RCA Revised as suggested.  
ok now",,
,,,,,,,,,,,,,Training operators on the importance of timely material flow regulation to avoid overfilling.,,,Done,,,,,
,,,,,,,,,,,,,Introducing periodic reminders/checks in shift operations for bin level monitoring.,,,Done,,,,,
,,,,,,,,,,,,,Calibration of load cells during next S/D.,Mr. Ashis Sahu,Next S/D,,,,,,
251,15-Jan-26,Pellet-1,Mechanical,Kiln inlet chute cooling fan,Kiln inlet chute cooling fan vibration,,No,Balancing done & Expansion Bellow installment done for the Kiln Tongue chute cooling fan,Done,16-Jan-26,RCA-KILN TONGUE CHUTE COOLING FAN,Impeller Imbalanced & vibration transmission through the supporting structure,"CA- Impeller balancing done, Expansion bellow installation done.",S.K. Muduli ,14-Jan-26,Done,14-Jan-26,,"High amplitude in Vibration  is likely to be due to rotor unbalance. 
Complied 
ok now.",Yes,14-Feb-26
,,,,,,,,,,,,,PA-Base Modification need to be done.,,14-Jan-26,Done,14-Jan-26,,,,
252,15-Jan-26,Pellet-1,Mechanical,TG PA fan,TG PA fan vibration ,180,No,Impeller cleaning & Balancing done for the TG PA Fan,Done,16-Jan-26,RCA- TG PA Fan-1,Impeller Imbalanced & not cleaned properly,"CA- Impeller cleaning & Balancing done for the TG PA Fan 
PA-Cleaning of the impeller need to be done time to time",S.K. Muduli ,15-Jan-26,Done,15-Jan-26,,"Dynamic balancing of the impeller after deposition cleaning.  Vibration levels to be monitored.
Complied
ok now.",Yes,14-Feb-26
253,15-Jan-26,Pellet-1,Mechanical,balling disc-2,Secondary scrapper tiles brakoen ,53,Speed loss,4 nos scraper tiles replaced,Done,16-Jan-26,RCA- BALLING DISC-2 SCRAPPER TILE,Stone pieces stuck in between scraper & Disc,"CA-4 nos scraper tiles replaced
PA-Continue bypassing stone-contaminated feed until stones are effectively removed.","Mr. S.K. Muduli 
Mr. Raghu V.",15-Jan-26,Done,15-Jan-26,,Pl discuss.,Yes,28-Feb-26
254,26-Jan-26,Pellet-1,E & I,Balling Disc-4,VFD problem,178,Speed loss,Backup VFD Installtion Done,Done,26-Jan-26,BD-4 VFD RCA,Over Current,"Immediately VFD Was Replaced.

One Backup (Standby) VFD Was Installed.

This Kaizen Enables All 4nos of Balling Disc to Have Standby VFD Which will Come Into Play Whenever  Any VFD Gets Failure. 
Mechanical Dept. Were Intimated Regarding this Problem to Look Into The Matter From, Their Side.
",Mr. Chitta Ranjan Sahoo & Mechanical Dept,30-Jan-26,Done,30-Jan-26,,RCA  can be made simpler. Either the cause is malfunctioning of the MCCB or it is actually subjected to higher load. Accordingly CAPA can be made.,,
255,3-Jan-26,Pellet-2,Process,Cooler,Hopper jamed ,78,Stop,Accretion pieces came,Not required,,,,,,,,,,,,
256,1-Jan-26,PGP,Mechanical,chp-crusher,non drive bearing damaged,690,No,new bearing replaced,Done,1-Jan-26,Coal crusher bearing.pdf,Lack of proper PM schedule.,1. Job list to be finalised for checking preventive maintenace.,Mr. Anurag Ray,15-Feb-26,Done,9-Feb-26,,"Systematic defect generation practice missing.
RCA report revised as suggested.
ok",,
,,,,,,,,,,,,,"2. PM schedule to be made, followed and activities to be documented properly.",,15-Feb-26,Done,9-Feb-26,,,,
257,7-Jan-26,PGP,Mechanical,PGP-4,Leakage was observed from the PGP-4 INNER CONE,"3,170",No,proper welding,Done,9-Jan-26,done,"Improper welding due to non-adherence or non-qualification of WPS, resulting in weld defects (porosity / lack of fusion).","1. Identify leakage location, remove defective weld.",Mr. Anurag Ray,9-Jan-26,Done,9-Jan-26,,"Does this failure happen regularly ? 
Comment: No, it is not a regular failure. Welding done properly and DP test conducted.
ok now",,
,,,,,,,,,,,,,"2. After welding it, perform NDT (DP test) in the welded location.",,9-Jan-26,Done,9-Jan-26,,,,
258,8-Jan-26,BNFC,E & I,PBM,PBM TRIPPED,105,No,CHECKING PURPOSE,Not required,,,,,,,,,,,,
259,15-Jan-26,BNFC,Process,Secondary Sump Jam ,"Secondary sump box jammed .
Leakage found in suction line .",265,Stop,"Material clear from sump box .
Welding done at leakage area .",Done,20-Jan-26,Secondary sump jam.pdf,NPSH dropped due to suction line leakage.,"CA-  Leakage arrested by welding work.
PA- 1. SOP to be followed strictly.
       2. Proper training to be given to operators.",Ashish Mishra,15-Jan-26,Done,,,,,
260,30-Jan-26,BNFC,Process,SecondaryCyclone feed pump ,"Secondary cyclone flow dropped . 
Mataerial deposite at sumpbox  .",520,Stop,Material clear from sump box .,Done,2-Feb-26,Seconadry cyclone  feed pump  pressure drop .pdf,Suction line punchered .,"CA- 1. Secondary sump made empty through manual cleaning.
        2. Suction line to be modified.
PA-  1. SOP to be followed strictly.
        2. Proper training to be given to operators.",Kumar Maharana ,"2-Feb-2026
Next S/D",,,,"Suction line to be modified with minimum 12 mm thick pipe (8"") with ground clearence for ease of maintenance.
Comment: RCA report & CAPA revised.
ok now",,
261,31-Jan-26,BNFC,Process,ZBC-1 ,ZBC-1 stoped due to over load materil  stored .,,Stop,",Material clear from ZBC ",Done,1-Feb-26,ZBC CHUTE JAMMED.pdf,"2cycles of filter discharge , shifter was not taken in line before feeding . ",Training given about SOP& keeep interlock with ZBC before feeding .,,,Done,,,,,
262,12-Jan-26,PGP,Mechanical,CBC-1,CBC-1 output coupling damaged.,885,No,gear coupling replaced.,Done,3-Feb-26,CBC-1 output coupling PGP.pdf,Systematic defect generation practice missing.,1. Systematic procedure to be made for inspection & defect generation,Mr. Anurag Ray,15-Feb-26,Done,9-Feb-26,one defect register generate ,"Systematic procedure to be made for inspection & defect generation. 
RCA report revised as suggested.
ok now",,
,,,,,,,,,,,,,2. Job list to be finalised for checking preventive maintenace.,,15-Feb-26,Done,9-Feb-26,,,,
263,31-Jan-26,BNFC,Mechanical,secondary cyclone feed pump,secondary feed pump suction line developed leakage due to erosion and wear,110,Stop,welding work done,Done,4-Feb-26,11.pdf,Poor access for maintenance,Plan A- new standby m/s pump box will be made and installed (will be done in running),,28-Feb-26,Done,,Implementation under progress,"Suction line to be modified with minimum 12 mm thick pipe (8"") with ground clearence for ease of maintenance.
Comment: RCA report & CAPA revised.
ok now",,
,,,,,,,,,,,,,"Plan B- Suction line to be modified with minimum 12 mm thick pipe ( 8"" ) with ground clearance for ease of maintenance",,,,,,,,
264,1-Feb-26,BNFC,Mechanical,Derrick 3,Derrick 3 feed box leakage from short piece,170,Stop,Rubberised bend to be used,Done,23-Mar-26,DERRICK 3 FEED BOX LEAKAGE.pdf,Due to space concern and use of non standard bend,Rubberised bend to be used,Mr. Bijayasen Pradhan,15-Apr-26,,,,ok,,
,,,,,,,,,,,,,,,,,,,,,
265,6-Feb-26,Pellet-1,E & I,TG MD,Motor Burning & Bearing Damage Repeated Failurity,Chronic Problem,Stop,Expert Help Required,Done,24-Feb-26,RCA P1 TG MOTOR BRG  FAILURE.pptx,1. Use of incorrect size and spec  of brg. It requires intermittent greasing but it can not be done  because brg is sealed from either  ends.,"1). TG drive triple ring gearbox unit #1, to be overhauled. Its backlash to be maintained closer to the recommended value.","Mr. S. K. Muduli
&
Mr. Bhajahari Das
",24-May-26,,,,"






Done by RCA team.








ok",,
,,,,,,,,,,,,,2). TG drive motor to be replaced with a same rating motor fitted  with 6309 C3 brg in place of 6209 ZZ C3 brg in the non-drive end and having lubrication facility.,,24-May-26,,,,,,
,,,,,,,,,,,,2. Knocking sound from the  gearbox (unit#1).,"3). In the initial stages after motor replacement, the temp and vibrations of motor DE & NDE bearings shall be measured.",,24-May-26,,,,,Yes,10-Feb-26
266,12-Feb-26,BNFC,Mechanical,TFC 2 CONVEYOR,TFC 2 BEND PULLEY SHAFT WAS BROKEN,190,Speed loss,PULLEY WAS REPLAED,Done,23-Mar-26,TFC 2 BEND PULLEY SHAFT.pdf,stress development due to welding on shaft,WELDING SHOULD BE AVOIDED AND PULLEY SHOULD BE REPLACED WITH IMMEDIATE EFFECT.,Mr. O P Singh,COMPLETED,,,,ok,,
,,,,,,,,,,,,,,,,Done,,,,,
267,18-Feb-26,Pellet-1,Process,BE-2,Emergncy activation,47,Stop,Emergency swith pressed,Done,28-Feb-26,RCA Bucket elevator emg,,,,,,,,,,
268,8-Feb-26,Pellet-2,Mechanical,BE-2,THE CHAIN GOT OUT FROM TAIL PULLEY SOCKET.,5,Stop,"CHAIN TENSIONING DONE WITH
BUCKET ELEVATOR IN RUNNING
CONDITION.",Done,24-Mar-26,be2.pdf,INCORRECT PRACTICE OF CHAIN TENSIONING IN IDLE CONDITION.,"1. CHAIN TENSIONING TO BE DONE WITH
BUCKET ELEVATOR IN RUNNING
CONDITION.",MR. NITISIH KUMAR,IN PRACTICE,Done,,,"Discussion held with the Department
ok",Yes,21-Feb-26
,,,,,,,,,,,,,2. SMP TO BE REVISED,MR. NITISIH KUMAR,28-Mar-26,,,,,,
270,5-Feb-26,Pellet-2,Process,Kiln,Kiln Discharge Jam,55,Stop,Material cleaned,Done,,Root Cause Analysis of Kiln Discharge Jam,,,,,Done,,,,,
271,19-Feb-26,Pellet-2,Mechanical,Balling Disc -4,A STONE GOT STUCK IN THR ROTARY SCRAPPER LEG,600,Speed loss,"PERSON TO BE DEPLOYED IN FC5A & FC6
(NEAR OFFLINE HOPPER) FOR REMOVING BIG
SIZE FOREIGN MATERIAL.",Done,24-Mar-26,balling disc.pdf,FOREIGN MATERIAL ENTRY ALONG WITH OFFLINE FEED,"PERSON TO BE DEPLOYED IN FC5A & FC6
(NEAR OFFLINE HOPPER) FOR REMOVING BIG
SIZE FOREIGN MATERIAL.",MR. SOURAV MOHANTY,15-Apr-26,,,,"Discussion held with the Department
OK",Yes,21-Feb-26
272,19-Feb-26,Pellet-2,Process,C-11,C-11 stopped due to broken scrapper stuck,29,Stop,,Done,,RCA OF BALLING DISC 4 ROTARY.pdf,Same as Sl. 272,,,,Done,,,,,
274,24-Feb-26,Pellet-1,Process,BC-3,Pull coard activated,,Stop,,Not required,,,,,,,,,,,,
275,27-Feb-26,Pellet-2,All,Mixer,Mixer tripped,,Speed loss,,Done,,P-2 Mixer Tripping Problem.pptx,,,,,Done,,,,Yes,3-Mar-26
276,22-Feb-26,BNFC,Process,HGMS-2,HGMS-2 SHOWING NEGATIVE CURRENT,960,No,"ADDITIONAL PVC NIPPLE TO BE FITTED OVER
THE ESXISTING INSULATED SOCKET.",Done,23-Mar-26,HGMS-2 SHOWING NEGATIVE CURRENT REPORT,INSULATED SOCKET OF HGMS-2 COIL COOLING WATER HOSE GOT DAMAGED AFFECTING INSULATION VALUE.,"ADDITIONAL PVC NIPPLE TO BE FITTED OVER
THE ESXISTING INSULATED SOCKET.",MR. GANESH MOHANTY,COMPLETED,Done,,,OK,,
277,23-Feb-26,Pellet-1,Mechanical,PCI LIW Agitator,LIW agitator shaft dislocate from its position,150,No,Dislocated shaft removed from its position.,Done,24-Feb-26,RCA PCI LIW agitator,Agitator shaft housing bottom bearing damaged due to aging.,CA: Dislocated shaft removed from its position.,Mr. SK Muduli,23-Feb-26,Done,23-Feb-26,,,,
,,,,,,,,,,,,,PA: Scheduled replacement plan for bearing need to be implemented,,23-Feb-26,Done,23-Feb-26,,,,
278,25-Feb-26,Pellet-1,Mechanical,FC-3,FC-3 carrying roller base (located below V-plough scrapper) broken,75,No,New Carrying roller base replaced.,Done,26-Feb-26,RCA FC-3 ,The carrying roller base failure is due to prolonged use & aging.,CA: Damaged carrying roller base (located below V-plough scrapper) replaced.,Mr. SK Muduli,25-Feb-26,Done,25-Feb-26,,,,
,,,,,,,,,,,,,PA: Scheduled preventive replacement for the roller base need to be implemented before fatigue limit.,,25-Feb-26,Done,25-Feb-26,,,,
279,27-Feb-26,Pellet-2,Mechanical,C 1A,Belt joint top rubber torn out,7,No,Belt Patching Done,Done,3-Mar-26,C 1A BELT TOP JOINT GOT DAMAGE 27-02-26.pdf,Belt got off track and started rubbing in runner channel at return dide,CA: Off track adjustment done ,Mr.Nitish kumar,27-02-26,Done,,,,,
,,,,,,,,,,,,,PA: Belt patching done both on top and bottom,,27-02-26,Done,,,,,
280,28-Feb-26,Pellet-2,Mechanical,C 8,C8 BELT GOT CUT THROUGH,110,No,"1. DEDICATED PERSON TO BE DEPLOYED FOR
BELT INSPECTION

2. CONVEYOR INSPECTION CHECK LIST
TO BE MADE",Done,24-Mar-26,C8 BELT CUT THROUGH.PDF,EQUIPMENT INSPECTION QUALITY NOT UPTO THE MARK,"DEDICATED PERSON TO BE DEPLOYED FOR
BELT INSPECTION",MR. NITISIH KUMAR,25-Apr-26,Done,,,"Discussion held with the Department
OK",,
,,,,,,,,,,,,,"CONVEYOR INSPECTION CHECK LIST
TO BE MADE",,30-Mar-26,Done,,,,,
281,28-Feb-26,Pellet-2,Mechanical,FC 5A,FC5A GEARBOX OUTPUT GEAR COUPLING GOT FREE,200,No,"DRIVE VIBRATION LEVEL TO BE MAINTAINED
BELOW 4 mm/s",Done,24-Mar-26,fc5a.pdf,DRIVE OPERATION WITH HIGH VIBRATION (7 mm/s),"DRIVE VIBRATION LEVEL TO BE MAINTAINED
BELOW 4 mm/s",MR. NITISIH KUMAR,COMPLETED,Done,,,"Discussion held with the Department
OK",,
282,28-Feb-26,Pellet-1,Mechanical,TG,TG Primary Gearbox-1 I/P shaft bearing damage,118,Stop,TG Primary Gearbox-1 I/P shaft & Motor dismantled & removed,Done,3-Mar-26,RCA TG P.G.box-1 IP shaft Bearing damage,Due to axial floating the I/P shaft bearing dmaged.,CA- TG Primary Gearbox-1 I/P shaft & Motor dismantled & removed,Mr. S.K. Muduli,28-02-2026,Done,,,,,
,,,,,,,,,,,,,PA- Observation frequency to be rised.,,28-02-2026,Done,,,,,
283,5-Mar-26,Pellet-2,Mechanical,Mixer,Mixer gate not opening,130,No,"remove the gate for now, bypassed the pvc logic from mixer hydraulic gate",Done,10-Apr-26,rca report,the gate sliding groove seal got damaged,Plan for visit of service engineer in coming shutdown,Mr.Nitish kumar,30-Apr-26,,,,"Discussion held with the team.
OK",,
,,,,,,,,,,,,,SMP to be developed based on the recommendation of service engineer,"Mr.Nitish kumar
+
Mr. Ashish Sahoo",25-May-26,,,,,Yes,14-Mar-26
284,13-Mar-26,Pellet-1,E & I,BC-2,Pull cord activated,13,Stop,De activated and running,Done,8-Apr-26,PDF,This job should be done after availing proper shutdown. This is must due to working space constraint.,Necessary instruction to be issued to avail shutdown for taking up lighting job in this conveyor due to space constraint for safe working to avoid similar incident.,Mr. Bhajahari Das,Completed,Done,,,"Discussion held with the team.
OK",Yes,14-Mar-26
285,10-Feb-26,BNFC,Process,HT BALL MILL,HT Ball Mill Discharge Line Jamm.,310,Stop,STANDARD OPERATING PROCEDURE TO BE MADE FOR PROPER STACKING OF MATERIAL IN YARD.,Done,23-Mar-26,HT BALL MILL DISCHARGE LINE JAM REPORT,NO PROPER YARD MANAGEMENT.,STANDARD OPERATING PROCEDURE TO BE MADE FOR PROPER STACKING OF MATERIAL IN YARD.,MR. KAUSHAL SINGH,30-Mar-26,,,,OK,,
286,22-Feb-26,BNFC,Process,HT BALL MILL,HT Ball Mill Feed Chute Jamm.,120,Stop,STANDARD OPERATING PROCEDURE TO BE MADE FOR PROPER STACKING OF MATERIAL IN YARD.,Done,23-Mar-26,HT BALL MILL FEED CHUTE JAM REPORT,NO PROPER YARD MANAGEMENT.,STANDARD OPERATING PROCEDURE TO BE MADE FOR PROPER STACKING OF MATERIAL IN YARD.,MR. KAUSHAL SINGH,30-Mar-26,,,,OK,,
287,1-Feb-26,Pellet-1,Process,BE-2,Dischage jam,10,Speed loss,Another BE was took in line and pipe angle was changed,Done,17-Mar-26,BE-2.jpeg,Poor material flow due to Improper pipe angle,CA: Another BE was took line.,Raghu,,Done,,,,,
,,,,,,,,,,,,,PA: Pipe angle was changed,,,Done,,,,,
288,17-Feb-26,BNFC,Process,Derrick-3,DERRICK-3 OVER FLOW LINE TO BALL MILL JAMMED.,235,Speed loss,"-3 mm material (pellet fines) to be changed in circuit.
 ",Done,23-Mar-26,DERRICK-3 OVERFLOW LINE JAM REPORT,Over size material feeding in circuit,"-3 mm material (pellet fines) to be changed in circuit.
 ",MR. KAUSHAL SINGH,COMPLETED,Done,,,OK,,
,,,,,,,,One more flushing line to be added at the place of chokage,,,,,One more flushing line to be added at the place of chokage,MR. B. S. CHANDEL,27-Mar-26,,,,,,
289,17-Mar-26,BNFC,Mechanical,RM 4 (B),RM 4 (B) discharge chute damage,95,Stop,Damaged discharge chute repair done,Done,8-Apr-26,RM 4 B DISCHARGE CHUTE.pdf,Damaged grizzly,Status of grizzly condition is to be recorded shitwise in log book & corrective measure to be taken immediately after,Mr. Kaushal Singh,10-Apr-26,,,,ok,,
290,17-Mar-26,BNFC,Mechanical,DERRICK 2,DERRICK 2 UNDER SIZE PIPE LEAKAGE DUE TO GASKET DAMAGE,65,Stop,REPLACE DAMAGE GASKET WITH NEW ONE,Done,8-Apr-26,DERRICK 2 PIPE LINE GASKET DAMAGE.pdf,Job done by unskilled person,"Training to be given to the workman.
SMP to be made and signed by the workman.",Mr. Bijay Pradhan,10-Apr-26,,,,ok,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
291,18-Mar-26,BNFC,Mechanical,TFC 3 CONVEYOR,TFC 3 TAKEUP PULLEY HUB DRUM CRACK,190,Speed loss,PULLEY REPLACEMENT DONE,Done,8-Apr-26,TFC 3 BEND PULLEY DRUM CRACK.pdf,Pulley Shell Thickness less (10 mm),Pulley Shell Thickness to be increased to 12 mm,MR. OM PRAKASH SINGH,Completed,Done,,,ok,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
292,4-Mar-26,BNFC,E & I,PBM,Ball mill tripped in high current due to sparking in slipring segment,240,Stop,Cleaned the damaged slipring segment surface & trimming done for smooth rubbing of carbon brush over the segment & started  ,Done,21-Mar-26,rca report,"During the inspection of the PBM slip ring segment, spark occurrence and high current trip were observed. All critical components including slip ring surface, brushes, holders, electrical connections, and environmental conditions were thoroughly inspected. No definitive root cause could be identified at this stage.We have  mailed this case to the OEM for detailed analysis and further investigation there after this RCA will be completed.","As the RCA is handed over to OEM for further analysis & completion of this RCA,CAPA status is pending. ",,,,,,ok,,
293,17-Mar-26,Pellet-2,E & I,Pellet-2 Stack Monitering UPS,"At P#2 stack monitoring room, a UPS which was installed to provide backup power supply to critical monitoring equipment, failed during operation resulting in the shutdown of the UPS and interruption of power supply to all connected equipment in the monitoring system.",5,Stop,"1. A separate power supply was provided for external agencies (SPCB) equipment to ensure no additional load is connected to the UPS.
2. UPS-backed supply and normal power supply were physically segregated.
3. Clear and prominent identification with warning signage was provided at UPS supply points.
4. SPCB personnel and internal staff were briefed regarding correct power source usage and UPS limitations",Done,8-Apr-26,RCA LINK,"Indentification marking on the UPS supply point was present but oerlooked by SPCB  personnel. Due to lack of awareness of load limitations, external equipment was connected to the UPS instead of the designated raw power source.",UPS source to be placed in an enclosure with screwed cover.,Mr. Bhajahari Das,15-Apr-26,,,,"Discussion held with the team
OK",,
294,22-Mar-26,Pellet-1,Process,FK pump Screw feeder,Screw feeder jam,325,No,short piece removed /clean the material & tied it with ceramic blanket then start the feeder,Done,13-Apr-26,rca report,Jamming due to foreign material,Pulverizing coal feeding pipe and LAW hopper to be properly connected,Mr. Uday Singh,Completed,Done,,,"Discussion held with the team
ok",Yes,24-Mar-26
295,29-Mar-26,Pellet-1,Mechanical,TG,TG chain 2nos comb plate locked with each other,3,Stop,2 no.s locking cleat replaced,Done,14-Apr-26,rca report,Fitment & wear out of 'L' cleat,"During shutdown, thorough checking of grate & replacement of all worn out cleat plates & ensure proper fitment",Mr. S.K. Muduli,,Done,,,"Discussion held with the team
ok",Yes,4-Apr-26
296,29-Mar-26,Pellet-2,Mechanical,C-15,Polymer came in C-15 discharge chute,12,Stop,1) DAMAGED POLYMER REMOVED 2) JAM CLEARED,Done,4-Apr-26,RCA C-15  04-04-26.pdf,,,,,,,,Discussion held with the department,Yes,4-Apr-26
297,29-Mar-26,Pellet-2,Mechanical,Balling Disc-2,Wall scrapper got bend,116,Speed loss,1) OLD SCRAPPER REMOVED 2) NEW SCRAPPER FITMENT DONE,Done,1-Apr-26,RCA BD-2 01-04-26.pdf,,,,,,,,Discussion held with the department,Yes,4-Apr-26
298,30-Mar-26,Pellet-2,Mechanical,Balling Disc-3,Pinion Coupling teflon bush got damaged,56,Speed loss,1) NEW TEFLON BAR FITTED 2) BALLING DISC DEGREE INCREASED,Done,2-Apr-26,RCA BD-3 02-04-26.pdf,,,,,,,,Discussion held with the department,Yes,4-Apr-26
